dish	dishLabel	country	countryLabel
http://www.wikidata.org/entity/Q1284887	red velvet cake	http://www.wikidata.org/entity/Q30	United States
http://www.wikidata.org/entity/Q1286804	Makkaraperunat		
http://www.wikidata.org/entity/Q1287934	Q1287934		
http://www.wikidata.org/entity/Q1293258	bakmi	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q1300076	Krautkrapfen		
http://www.wikidata.org/entity/Q1328767	Polonaise		
http://www.wikidata.org/entity/Q1331201	Q1331201		
http://www.wikidata.org/entity/Q1348512	Q1348512		
http://www.wikidata.org/entity/Q1349413	Bamba	http://www.wikidata.org/entity/Q801	Israel
http://www.wikidata.org/entity/Q1352897	unadon	http://www.wikidata.org/entity/Q17	Japan
http://www.wikidata.org/entity/Q1364509	jambalaya	http://www.wikidata.org/entity/Q1588	Louisiana
http://www.wikidata.org/entity/Q1367718	gu lou juk	http://www.wikidata.org/entity/Q148	People's Republic of China
http://www.wikidata.org/entity/Q1369929	Q1369929		
http://www.wikidata.org/entity/Q1372313	Krautshäuptchen		
http://www.wikidata.org/entity/Q1376161	Topfenstrudel		
http://www.wikidata.org/entity/Q1376963	Q1376963	http://www.wikidata.org/entity/Q18678265	Occitania
http://www.wikidata.org/entity/Q1386897	Q1386897		
http://www.wikidata.org/entity/Q1397036	farofa	http://www.wikidata.org/entity/Q155	Brazil
http://www.wikidata.org/entity/Q1397169	Farsu magru		
http://www.wikidata.org/entity/Q1408240	Q1408240		
http://www.wikidata.org/entity/Q1420371	Goxua		
http://www.wikidata.org/entity/Q1420442	Lohikeitto	http://www.wikidata.org/entity/Q33	Finland
http://www.wikidata.org/entity/Q1423008	Q1423008		
http://www.wikidata.org/entity/Q1423571	Restaurationsbrot		
http://www.wikidata.org/entity/Q1426038	Q1426038		
http://www.wikidata.org/entity/Q1433274	Q1433274		
http://www.wikidata.org/entity/Q1435874	ugali	http://www.wikidata.org/entity/Q114	Kenya
http://www.wikidata.org/entity/Q1452513	pincho		
http://www.wikidata.org/entity/Q1464898	frikandel	http://www.wikidata.org/entity/Q476033	Low Countries
http://www.wikidata.org/entity/Q1471200	Q1471200		
http://www.wikidata.org/entity/Q1473422	Ful medames	http://www.wikidata.org/entity/Q79	Egypt
http://www.wikidata.org/entity/Q1476953	Möpkenbrot	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q1479399	hash		
http://www.wikidata.org/entity/Q1479596	Fërgesë Tirane		
http://www.wikidata.org/entity/Q1485640	Tonno del Chianti	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q1498208	Gefüllte Kalbsbrust		
http://www.wikidata.org/entity/Q1505775	Q1505775		
http://www.wikidata.org/entity/Q1506811	pølse		
http://www.wikidata.org/entity/Q1511660	Q1511660		
http://www.wikidata.org/entity/Q1517954	pizokel		
http://www.wikidata.org/entity/Q1526667	Q1526667		
http://www.wikidata.org/entity/Q1533235	gnocchi alla romana	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q1537533	Hefekloß		
http://www.wikidata.org/entity/Q1537922	isterband		
http://www.wikidata.org/entity/Q1539635	blåbärssoppa	http://www.wikidata.org/entity/Q34	Sweden
http://www.wikidata.org/entity/Q1545649	Grenadiermarsch		
http://www.wikidata.org/entity/Q1546782	grilletta	http://www.wikidata.org/entity/Q16957	German Democratic Republic
http://www.wikidata.org/entity/Q1548693	Q1548693		
http://www.wikidata.org/entity/Q1555816	Piperade		
http://www.wikidata.org/entity/Q1559248	ribollita	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q1561248	lamian	http://www.wikidata.org/entity/Q148	People's Republic of China
http://www.wikidata.org/entity/Q1563014	Q1563014		
http://www.wikidata.org/entity/Q1566840	Supersize		
http://www.wikidata.org/entity/Q1567471	Leskovački roštilj	http://www.wikidata.org/entity/Q403	Serbia
http://www.wikidata.org/entity/Q1567722	Q1567722		
http://www.wikidata.org/entity/Q1570466	liverwurst		
http://www.wikidata.org/entity/Q1571724	Q1571724		
http://www.wikidata.org/entity/Q1572563	ham and eggs		
http://www.wikidata.org/entity/Q1582056	Q1582056		
http://www.wikidata.org/entity/Q1585409	harees		
http://www.wikidata.org/entity/Q1597319	Q1597319		
http://www.wikidata.org/entity/Q1616787	Q1616787		
http://www.wikidata.org/entity/Q1621633	Q1621633		
http://www.wikidata.org/entity/Q1625491	Q1625491		
http://www.wikidata.org/entity/Q1626853	Matoke	http://www.wikidata.org/entity/Q1036	Uganda
http://www.wikidata.org/entity/Q1639853	Moros y Cristianos	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q1641858	Häckerle	http://www.wikidata.org/entity/Q36	Poland
http://www.wikidata.org/entity/Q1641858	Häckerle	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q1664301	Q1664301		
http://www.wikidata.org/entity/Q1664470	Q1664470		
http://www.wikidata.org/entity/Q1683716	lontong	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q1689540	Q1689540		
http://www.wikidata.org/entity/Q1703796	Hákarl	http://www.wikidata.org/entity/Q189	Iceland
http://www.wikidata.org/entity/Q1720986	Kadu bouranee		
http://www.wikidata.org/entity/Q1721014	red curry	http://www.wikidata.org/entity/Q869	Thailand
http://www.wikidata.org/entity/Q1722629	cold platter		
http://www.wikidata.org/entity/Q1726195	Syrniki	http://www.wikidata.org/entity/Q27468	Eastern Europe
http://www.wikidata.org/entity/Q1727306	Q1727306		
http://www.wikidata.org/entity/Q1735171	Kaspressknödel	http://www.wikidata.org/entity/Q40	Austria
http://www.wikidata.org/entity/Q1735834	Q1735834		
http://www.wikidata.org/entity/Q1743404	Q1743404	http://www.wikidata.org/entity/Q40	Austria
http://www.wikidata.org/entity/Q1747162	Q1747162		
http://www.wikidata.org/entity/Q1752442	Q1752442	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q1753265	skordalia	http://www.wikidata.org/entity/Q41	Greece
http://www.wikidata.org/entity/Q1756289	fried bread	http://www.wikidata.org/entity/Q39193	Bohemia
http://www.wikidata.org/entity/Q1756289	fried bread	http://www.wikidata.org/entity/Q43266	Moravia
http://www.wikidata.org/entity/Q1757401	Svið		
http://www.wikidata.org/entity/Q1760240	Quatre mendiants	http://www.wikidata.org/entity/Q142	France
http://www.wikidata.org/entity/Q1760470	Tramezzino	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q1761000	Pasta con le sarde	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q1772368	Q1772368		
http://www.wikidata.org/entity/Q1777113	Knieper		
http://www.wikidata.org/entity/Q1777339	Q1777339		
http://www.wikidata.org/entity/Q1779559	kololak	http://www.wikidata.org/entity/Q399	Armenia
http://www.wikidata.org/entity/Q1786572	Sodd		
http://www.wikidata.org/entity/Q1787022	crab soup	http://www.wikidata.org/entity/Q142	France
http://www.wikidata.org/entity/Q1787022	crab soup	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q1790280	Q1790280		
http://www.wikidata.org/entity/Q1790741	Q1790741		
http://www.wikidata.org/entity/Q1791505	Q1791505		
http://www.wikidata.org/entity/Q1795457	käsefladen	http://www.wikidata.org/entity/Q39	Switzerland
http://www.wikidata.org/entity/Q1798420	Q1798420		
http://www.wikidata.org/entity/Q1810059	Q1810059		
http://www.wikidata.org/entity/Q1811076	Liver and onions		
http://www.wikidata.org/entity/Q1815545	Leipziger Lerche		
http://www.wikidata.org/entity/Q1815579	Q1815579		
http://www.wikidata.org/entity/Q1815839	pissaladière	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q1815839	pissaladière	http://www.wikidata.org/entity/Q142	France
http://www.wikidata.org/entity/Q1827035	lentil soup		
http://www.wikidata.org/entity/Q1853883	ostkaka	http://www.wikidata.org/entity/Q34	Sweden
http://www.wikidata.org/entity/Q1855212	Brussels waffle	http://www.wikidata.org/entity/Q31	Belgium
http://www.wikidata.org/entity/Q1868851	Lomo saltado	http://www.wikidata.org/entity/Q419	Peru
http://www.wikidata.org/entity/Q1873131	Q1873131		
http://www.wikidata.org/entity/Q1886359	Q1886359		
http://www.wikidata.org/entity/Q1886687	Malakoff	http://www.wikidata.org/entity/Q39	Switzerland
http://www.wikidata.org/entity/Q1915701	Q1915701		
http://www.wikidata.org/entity/Q1921170	Sajoer	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q1925991	Mettigel	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q1926063	Q1926063		
http://www.wikidata.org/entity/Q1934427	Q1934427		
http://www.wikidata.org/entity/Q1934450	Q1934450		
http://www.wikidata.org/entity/Q1934690	sea cucumber as food		
http://www.wikidata.org/entity/Q1954072	Q1954072		
http://www.wikidata.org/entity/Q1960572	Q1960572	http://www.wikidata.org/entity/Q31	Belgium
http://www.wikidata.org/entity/Q1967823	spare ribs		
http://www.wikidata.org/entity/Q1969648	Amsterdam onion	http://www.wikidata.org/entity/Q55	Netherlands
http://www.wikidata.org/entity/Q1988612	bean soup		
http://www.wikidata.org/entity/Q1988970	kibinai		
http://www.wikidata.org/entity/Q2023763	Jin deui	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q2039175	Flemish-style asparagus	http://www.wikidata.org/entity/Q31	Belgium
http://www.wikidata.org/entity/Q2047314	Maror		
http://www.wikidata.org/entity/Q2056216	Q2056216		
http://www.wikidata.org/entity/Q2056262	Q2056262		
http://www.wikidata.org/entity/Q2060858	Cachupa	http://www.wikidata.org/entity/Q1011	Cape Verde
http://www.wikidata.org/entity/Q2072130	Broeder		
http://www.wikidata.org/entity/Q2082064	Consommé	http://www.wikidata.org/entity/Q142	France
http://www.wikidata.org/entity/Q2083470	Pfefferpotthast	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q2084500	Q2084500		
http://www.wikidata.org/entity/Q2101181	polbo á feira		
http://www.wikidata.org/entity/Q2102150	Q2102150		
http://www.wikidata.org/entity/Q2107118	Powidltascherl		
http://www.wikidata.org/entity/Q2108393	sale pisang	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q2120163	Pâté de campagne	http://www.wikidata.org/entity/Q142	France
http://www.wikidata.org/entity/Q2130319	Q2130319		
http://www.wikidata.org/entity/Q2140466	buckwheat cake		
http://www.wikidata.org/entity/Q2142880	rump steak		
http://www.wikidata.org/entity/Q2151924	Riebel	http://www.wikidata.org/entity/Q40	Austria
http://www.wikidata.org/entity/Q2180951	lekkerbekje	http://www.wikidata.org/entity/Q55	Netherlands
http://www.wikidata.org/entity/Q2216156	salt potatoes	http://www.wikidata.org/entity/Q30	United States
http://www.wikidata.org/entity/Q2216156	salt potatoes	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q2216200	Q2216200	http://www.wikidata.org/entity/Q159	Russia
http://www.wikidata.org/entity/Q2227693	Q2227693		
http://www.wikidata.org/entity/Q2236189	Q2236189		
http://www.wikidata.org/entity/Q2236199	Q2236199		
http://www.wikidata.org/entity/Q2236643	Q2236643		
http://www.wikidata.org/entity/Q2247910	Schnepfendreck		
http://www.wikidata.org/entity/Q2255682	Q2255682		
http://www.wikidata.org/entity/Q2255703	pork tail		
http://www.wikidata.org/entity/Q2255787	pig head		
http://www.wikidata.org/entity/Q2269366	Q2269366		
http://www.wikidata.org/entity/Q2273698	Q2273698		
http://www.wikidata.org/entity/Q2274269	serviettenknödel	http://www.wikidata.org/entity/Q40	Austria
http://www.wikidata.org/entity/Q2274269	serviettenknödel	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q2274269	serviettenknödel	http://www.wikidata.org/entity/Q213	Czech Republic
http://www.wikidata.org/entity/Q2284641	Q2284641		
http://www.wikidata.org/entity/Q2297499	Sofrito (stew)	http://www.wikidata.org/entity/Q41	Greece
http://www.wikidata.org/entity/Q2306704	Q2306704		
http://www.wikidata.org/entity/Q2306706	Spanish fricco		
http://www.wikidata.org/entity/Q2311032	Q2311032		
http://www.wikidata.org/entity/Q2330776	Q2330776		
http://www.wikidata.org/entity/Q703313	sour rye soup	http://www.wikidata.org/entity/Q36	Poland
http://www.wikidata.org/entity/Q703313	sour rye soup	http://www.wikidata.org/entity/Q39193	Bohemia
http://www.wikidata.org/entity/Q705123	yaksik	http://www.wikidata.org/entity/Q18097	Korea
http://www.wikidata.org/entity/Q705381	wolgwa-chae	http://www.wikidata.org/entity/Q18097	Korea
http://www.wikidata.org/entity/Q707788	Small sausage in large sausage		
http://www.wikidata.org/entity/Q713869	grass jelly	http://www.wikidata.org/entity/Q148	People's Republic of China
http://www.wikidata.org/entity/Q715040	japchae	http://www.wikidata.org/entity/Q18097	Korea
http://www.wikidata.org/entity/Q720230	rojak	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q722002	paprikash	http://www.wikidata.org/entity/Q28	Hungary
http://www.wikidata.org/entity/Q742173	peixinhos da horta		
http://www.wikidata.org/entity/Q747457	empanada		
http://www.wikidata.org/entity/Q777487	mixed pickle		
http://www.wikidata.org/entity/Q799098	Q799098		
http://www.wikidata.org/entity/Q812609	Bayrisch Kraut	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q821733	Q821733	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q824592	Berner Platte		
http://www.wikidata.org/entity/Q827654	lassi	http://www.wikidata.org/entity/Q668	India
http://www.wikidata.org/entity/Q828043	bouillabaisse	http://www.wikidata.org/entity/Q142	France
http://www.wikidata.org/entity/Q829977	Q829977		
http://www.wikidata.org/entity/Q847652	shuizhu	http://www.wikidata.org/entity/Q148	People's Republic of China
http://www.wikidata.org/entity/Q848957	coto makassar	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q856034	bibeleskaes		
http://www.wikidata.org/entity/Q860170	yin yang fried rice	http://www.wikidata.org/entity/Q148	People's Republic of China
http://www.wikidata.org/entity/Q860465	roast beef	http://www.wikidata.org/entity/Q21	England
http://www.wikidata.org/entity/Q861293	cheese on toast	http://www.wikidata.org/entity/Q145	United Kingdom
http://www.wikidata.org/entity/Q862557	osechi	http://www.wikidata.org/entity/Q17	Japan
http://www.wikidata.org/entity/Q862595	Q862595	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q863794	chili	http://www.wikidata.org/entity/Q96	Mexico
http://www.wikidata.org/entity/Q865004	tajine	http://www.wikidata.org/entity/Q28227	Maghreb
http://www.wikidata.org/entity/Q865325	quesadilla	http://www.wikidata.org/entity/Q96	Mexico
http://www.wikidata.org/entity/Q867426	Cendol	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q868158	cocido	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q872611	Mohr im Hemd		
http://www.wikidata.org/entity/Q872625	Leberknödel	http://www.wikidata.org/entity/Q40	Austria
http://www.wikidata.org/entity/Q872625	Leberknödel	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q874626	Q874626		
http://www.wikidata.org/entity/Q876096	enchilada	http://www.wikidata.org/entity/Q96	Mexico
http://www.wikidata.org/entity/Q876624	carbonara	http://www.wikidata.org/entity/Q30	United States
http://www.wikidata.org/entity/Q876624	carbonara	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q876814	Fleckerl		
http://www.wikidata.org/entity/Q876823	Krautfleckerl		
http://www.wikidata.org/entity/Q877910	Mont d'Or chaud	http://www.wikidata.org/entity/Q39	Switzerland
http://www.wikidata.org/entity/Q877910	Mont d'Or chaud	http://www.wikidata.org/entity/Q142	France
http://www.wikidata.org/entity/Q878189	feijoada	http://www.wikidata.org/entity/Q45	Portugal
http://www.wikidata.org/entity/Q878318	Hochzeitssuppe	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q879133	Spundekäs	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q882630	Q882630		
http://www.wikidata.org/entity/Q888832	bobotie	http://www.wikidata.org/entity/Q258	South Africa
http://www.wikidata.org/entity/Q891437	Q891437		
http://www.wikidata.org/entity/Q905527	takoyaki	http://www.wikidata.org/entity/Q17	Japan
http://www.wikidata.org/entity/Q907849	Kongbap	http://www.wikidata.org/entity/Q18097	Korea
http://www.wikidata.org/entity/Q913411	svele		
http://www.wikidata.org/entity/Q923440	Q923440	http://www.wikidata.org/entity/Q16957	German Democratic Republic
http://www.wikidata.org/entity/Q923729	galantine	http://www.wikidata.org/entity/Q142	France
http://www.wikidata.org/entity/Q924689	soto ayam	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q929487	Schlachteplatte		
http://www.wikidata.org/entity/Q941004	fufu	http://www.wikidata.org/entity/Q117	Ghana
http://www.wikidata.org/entity/Q950976	gachas	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q951525	Avial	http://www.wikidata.org/entity/Q668	India
http://www.wikidata.org/entity/Q952366	bocconotto	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q957776	Migas	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q962330	pig jaw		
http://www.wikidata.org/entity/Q966824	Potjevleesch	http://www.wikidata.org/entity/Q31	Belgium
http://www.wikidata.org/entity/Q980388	salteña	http://www.wikidata.org/entity/Q750	Bolivia
http://www.wikidata.org/entity/Q995376	Fabada asturiana	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q997361	Chwee kueh		
http://www.wikidata.org/entity/Q997557	Q997557		
http://www.wikidata.org/entity/Q997633	amatriciana sauce	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q999186	buckwheat dumplings	http://www.wikidata.org/entity/Q183	Germany
http://www.wikidata.org/entity/Q1001569	Q1001569		
http://www.wikidata.org/entity/Q1004735	Bulz		
http://www.wikidata.org/entity/Q1007983	Ganca	http://www.wikidata.org/entity/Q218	Romania
http://www.wikidata.org/entity/Q1018138	Butterschnitzel		
http://www.wikidata.org/entity/Q1018934	Q1018934		
http://www.wikidata.org/entity/Q1026488	Caldo galego	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q1027884	calçotada	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q1048130	oromo	http://www.wikidata.org/entity/Q813	Kyrgyzstan
http://www.wikidata.org/entity/Q1048496	botvinia		
http://www.wikidata.org/entity/Q1051852	Sōki		
http://www.wikidata.org/entity/Q1052236	pasta salad		
http://www.wikidata.org/entity/Q1057256	ossobuco	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q1059273	chakalaka	http://www.wikidata.org/entity/Q258	South Africa
http://www.wikidata.org/entity/Q1061604	chana masala	http://www.wikidata.org/entity/Q668	India
http://www.wikidata.org/entity/Q1067884	Chartreuse	http://www.wikidata.org/entity/Q142	France
http://www.wikidata.org/entity/Q1068330	Q1068330		
http://www.wikidata.org/entity/Q1068574	chawanmushi	http://www.wikidata.org/entity/Q17	Japan
http://www.wikidata.org/entity/Q1076874	fried rice	http://www.wikidata.org/entity/Q148	People's Republic of China
http://www.wikidata.org/entity/Q1083840	balti		
http://www.wikidata.org/entity/Q1086747	Virgin boy egg		
http://www.wikidata.org/entity/Q1093380	club sandwich	http://www.wikidata.org/entity/Q30	United States
http://www.wikidata.org/entity/Q1094305	Luther Burger	http://www.wikidata.org/entity/Q30	United States
http://www.wikidata.org/entity/Q1095315	toum		
http://www.wikidata.org/entity/Q1105318	Q1105318		
http://www.wikidata.org/entity/Q1105512	Lula kebab	http://www.wikidata.org/entity/Q227	Azerbaijan
http://www.wikidata.org/entity/Q1105512	Lula kebab	http://www.wikidata.org/entity/Q399	Armenia
http://www.wikidata.org/entity/Q1105512	Lula kebab	http://www.wikidata.org/entity/Q7204	Middle East
http://www.wikidata.org/entity/Q1105512	Lula kebab	http://www.wikidata.org/entity/Q27275	Central Asia
http://www.wikidata.org/entity/Q1105512	Lula kebab	http://www.wikidata.org/entity/Q200173	South Caucasus
http://www.wikidata.org/entity/Q1117173	Sarde in saor	http://www.wikidata.org/entity/Q38	Italy
http://www.wikidata.org/entity/Q1131837	Ndolé	http://www.wikidata.org/entity/Q1009	Cameroon
http://www.wikidata.org/entity/Q2395693	Vorschmack	http://www.wikidata.org/entity/Q27468	Eastern Europe
http://www.wikidata.org/entity/Q2400452	Q2400452	http://www.wikidata.org/entity/Q1202	Saxony
http://www.wikidata.org/entity/Q2402333	Buddha's delight	http://www.wikidata.org/entity/Q148	People's Republic of China
http://www.wikidata.org/entity/Q2414031	lemper	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q2424605	Croquignoles		
http://www.wikidata.org/entity/Q2425845	sate kambing	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q2428787	ayam Taliwang	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q2440538	Q2440538		
http://www.wikidata.org/entity/Q2445410	Hyderabadi biryani		
http://www.wikidata.org/entity/Q2457455	sayur asem	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q2464254	túrógombóc	http://www.wikidata.org/entity/Q28	Hungary
http://www.wikidata.org/entity/Q2468860	chè trôi nước	http://www.wikidata.org/entity/Q881	Vietnam
http://www.wikidata.org/entity/Q2478703	khichri	http://www.wikidata.org/entity/Q60140	Indian subcontinent
http://www.wikidata.org/entity/Q2482979	Pom	http://www.wikidata.org/entity/Q730	Suriname
http://www.wikidata.org/entity/Q2485491	mitraillette	http://www.wikidata.org/entity/Q31	Belgium
http://www.wikidata.org/entity/Q2495505	macaroni casserole		
http://www.wikidata.org/entity/Q2511999	Q2511999		
http://www.wikidata.org/entity/Q2527136	bsisa	http://www.wikidata.org/entity/Q27381	North Africa
http://www.wikidata.org/entity/Q2533856	Voressen		
http://www.wikidata.org/entity/Q2548949	vine leaf roll	http://www.wikidata.org/entity/Q43	Turkey
http://www.wikidata.org/entity/Q2550270	Tarte al d'jote		
http://www.wikidata.org/entity/Q2551579	Q2551579		
http://www.wikidata.org/entity/Q2553796	Q2553796		
http://www.wikidata.org/entity/Q2553843	Weckewerk		
http://www.wikidata.org/entity/Q2565922	Ema datshi	http://www.wikidata.org/entity/Q917	Bhutan
http://www.wikidata.org/entity/Q2569162	Q2569162		
http://www.wikidata.org/entity/Q2580257	Ipoh white coffee		
http://www.wikidata.org/entity/Q2592256	Hochepot		
http://www.wikidata.org/entity/Q2625025	Zosui	http://www.wikidata.org/entity/Q17	Japan
http://www.wikidata.org/entity/Q2631681	dressed herring	http://www.wikidata.org/entity/Q15180	Soviet Union
http://www.wikidata.org/entity/Q2632589	lazanki	http://www.wikidata.org/entity/Q36	Poland
http://www.wikidata.org/entity/Q2634430	Curd rice	http://www.wikidata.org/entity/Q668	India
http://www.wikidata.org/entity/Q2635144	sorrel soup	http://www.wikidata.org/entity/Q27468	Eastern Europe
http://www.wikidata.org/entity/Q2654880	matzah brei		
http://www.wikidata.org/entity/Q2663339	Q2663339		
http://www.wikidata.org/entity/Q2681008	huevos rancheros	http://www.wikidata.org/entity/Q96	Mexico
http://www.wikidata.org/entity/Q2721752	Murukku	http://www.wikidata.org/entity/Q668	India
http://www.wikidata.org/entity/Q2723206	Dal baati		
http://www.wikidata.org/entity/Q2723965	Dhansak	http://www.wikidata.org/entity/Q668	India
http://www.wikidata.org/entity/Q2724847	Idada		
http://www.wikidata.org/entity/Q2725826	Undhiyu	http://www.wikidata.org/entity/Q668	India
http://www.wikidata.org/entity/Q2738560	Q2738560		
http://www.wikidata.org/entity/Q2746599	tumpeng	http://www.wikidata.org/entity/Q252	Indonesia
http://www.wikidata.org/entity/Q2785975	dagobert	http://www.wikidata.org/entity/Q31	Belgium
http://www.wikidata.org/entity/Q2821672	Ablo	http://www.wikidata.org/entity/Q945	Togo
http://www.wikidata.org/entity/Q2821672	Ablo	http://www.wikidata.org/entity/Q962	Benin
http://www.wikidata.org/entity/Q2821672	Ablo	http://www.wikidata.org/entity/Q1008	Ivory Coast
http://www.wikidata.org/entity/Q2827721	Ahriche	http://www.wikidata.org/entity/Q1028	Morocco
http://www.wikidata.org/entity/Q2835652	Judías de El Barco de Ávila	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q2839342	Alouettes sans tête	http://www.wikidata.org/entity/Q101081	Provence
http://www.wikidata.org/entity/Q2840947	albanian stew	http://www.wikidata.org/entity/Q222	Albania
http://www.wikidata.org/entity/Q2849806	Q2849806	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q2867162	Q2867162		
http://www.wikidata.org/entity/Q2879351	Bai ye	http://www.wikidata.org/entity/Q148	People's Republic of China
http://www.wikidata.org/entity/Q2880030	Q2880030		
http://www.wikidata.org/entity/Q2885782	Shmaky		
http://www.wikidata.org/entity/Q2891036	Conejo en salmorejo	http://www.wikidata.org/entity/Q29	Spain
http://www.wikidata.org/entity/Q2892592	Cassola de tros de Juneda		
http://www.wikidata.org/entity/Q2897203	berkoukes		
http://www.wikidata.org/entity/Q2899201	rousong	http://www.wikidata.org/entity/Q17	Japan
